Detailed Statistics Departures  
Origin Airport: Newark, NJ: Newark Liberty International (EWR)
Airline: Frontier Airlines Inc. (F9)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2024

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"F9","10/14/2024","3571","N603FR","SJU","05:59","07:36","234","233","97","08:02","26","96","0","0","0","0"
"F9","10/14/2024","3573","N609FR","SJU","11:13","11:20","234","238","7","11:42","22","0","0","0","0","0"
"F9","10/15/2024","1061","N709FR","SJU","05:59","05:58","234","272","-1","06:27","29","0","0","37","0","0"
"F9","10/16/2024","3571","N629FR","SJU","05:59","05:57","234","247","-2","06:17","20","0","0","0","0","0"
"F9","10/16/2024","3573","N624FR","SJU","11:13","11:14","234","240","1","11:35","21","0","0","0","0","0"
"F9","10/17/2024","3571","N629FR","SJU","05:59","05:55","234","253","-4","06:19","24","0","0","15","0","0"
"F9","10/18/2024","3571","N616FR","SJU","05:59","05:56","234","250","-3","06:26","30","0","0","0","0","0"
"F9","10/18/2024","3573","N999FR","SJU","11:13","11:13","234","0","0","00:00","0","0","0","0","0","0"
"F9","10/19/2024","3571","N642FR","SJU","05:59","05:54","234","236","-5","06:15","21","0","0","0","0","0"
"F9","10/19/2024","3573","N645FR","SJU","11:13","11:22","234","230","9","11:39","17","0","0","0","0","0"
"F9","10/20/2024","3571","N614FR","SJU","05:59","05:59","234","234","0","06:26","27","0","0","0","0","0"
"F9","10/21/2024","3571","N629FR","SJU","05:59","05:52","234","225","-7","06:11","19","0","0","0","0","0"
"F9","10/21/2024","3573","N636FR","SJU","11:13","11:16","234","232","3","11:35","19","0","0","0","0","0"
"F9","10/22/2024","3571","N642FR","SJU","05:59","05:54","234","245","-5","06:23","29","0","0","0","0","0"
"F9","10/23/2024","3571","N641FR","SJU","05:59","05:53","234","250","-6","06:21","28","0","0","0","0","0"
"F9","10/23/2024","3573","N645FR","SJU","11:13","13:27","234","361","134","13:40","13","134","0","127","0","0"
"F9","10/24/2024","3571","N645FR","SJU","05:59","05:58","234","246","-1","06:30","32","0","0","0","0","0"
"F9","10/25/2024","3571","N626FR","SJU","05:59","05:55","234","220","-4","06:14","19","0","0","0","0","0"
"F9","10/25/2024","3573","N616FR","SJU","11:13","12:23","234","240","70","13:06","43","70","0","6","0","0"
"F9","10/26/2024","3571","N652FR","SJU","05:59","06:01","234","233","2","06:25","24","0","0","0","0","0"
"F9","10/26/2024","3573","N641FR","SJU","11:13","11:32","234","249","19","12:05","33","1","0","15","0","18"
"F9","10/27/2024","3571","N652FR","SJU","05:59","05:41","234","235","-18","06:10","29","0","0","0","0","0"
"F9","10/28/2024","3571","N626FR","SJU","05:59","06:16","234","238","17","06:33","17","0","0","4","0","17"
"F9","10/28/2024","3573","N621FR","SJU","11:13","11:37","234","224","24","11:58","21","0","0","0","0","0"
"F9","10/29/2024","3571","N626FR","SJU","05:59","05:52","234","280","-7","06:12","20","0","0","39","0","0"
"F9","10/30/2024","3571","N606FR","SJU","05:59","05:50","234","219","-9","06:06","16","0","0","0","0","0"
"F9","10/30/2024","3573","N626FR","SJU","11:13","11:15","234","258","2","11:34","19","0","0","24","0","2"
"F9","10/31/2024","3571","N606FR","SJU","05:59","05:55","234","247","-4","06:20","25","0","0","0","0","0"

 SOURCE: Bureau of Transportation Statistics
